OrderID,Quantity,Price,Sales,Date,Month,Year,Product_Name,Manufacturing_price,City,DealSize
10107,30,95.7,2871,24,2,2003,Motorcycles,95,NYC,Small
10121,34,81.35,2765.9,7,5,2003,Motorcycles,95,Reims,Small
10134,41,94.74,3884.34,1,7,2003,Motorcycles,95,Paris,Medium
10145,45,83.26,3746.7,25,8,2003,Motorcycles,95,Pasadena,Medium
10159,49,100,5205.27,10,10,2003,Motorcycles,95,San Francisco,Medium
10168,36,96.66,3479.76,28,10,2003,Motorcycles,95,Burlingame,Medium
10180,29,86.13,2497.77,11,11,2003,Motorcycles,95,Lille,Small
10188,48,100,5512.32,18,11,2003,Motorcycles,95,Bergen,Medium
10201,22,98.57,2168.54,1,12,2003,Motorcycles,95,San Francisco,Small
10211,41,100,4708.44,15,1,2004,Motorcycles,95,Paris,Medium
10223,37,100,3965.66,20,2,2004,Motorcycles,95,Melbourne,Medium
10237,23,100,2333.12,5,4,2004,Motorcycles,95,NYC,Small
10251,28,100,3188.64,18,5,2004,Motorcycles,95,Newark,Medium
10263,34,100,3676.76,28,6,2004,Motorcycles,95,Bridgewater,Medium
10275,45,92.83,4177.35,23,7,2004,Motorcycles,95,Nantes,Medium
10285,36,100,4099.68,27,8,2004,Motorcycles,95,Cambridge,Medium
10299,23,100,2597.39,30,9,2004,Motorcycles,95,Helsinki,Small
10309,41,100,4394.38,15,10,2004,Motorcycles,95,Stavern,Medium
10318,46,94.74,4358.04,2,11,2004,Motorcycles,95,Allentown,Medium
10329,42,100,4396.14,15,11,2004,Motorcycles,95,NYC,Medium
10341,41,100,7737.93,24,11,2004,Motorcycles,95,Salzburg,Large
10361,20,72.55,1451,17,12,2004,Motorcycles,95,Chatswood,Small
10375,21,34.91,733.11,3,2,2005,Motorcycles,95,Nantes,Small
10388,42,76.36,3207.12,3,3,2005,Motorcycles,95,New Bedford,Medium
10403,24,100,2434.56,8,4,2005,Motorcycles,95,Liverpool,Small
10417,66,100,7516.08,13,5,2005,Motorcycles,95,Madrid,Large
10103,26,100,5404.62,29,1,2003,Classic Cars,214,Stavern,Medium
10112,29,100,7209.11,24,3,2003,Classic Cars,214,Lule,Large
10126,38,100,7329.06,28,5,2003,Classic Cars,214,Madrid,Large
10140,37,100,7374.1,24,7,2003,Classic Cars,214,Burlingame,Large
10150,45,100,10993.5,19,9,2003,Classic Cars,214,Singapore,Large
10163,21,100,4860.24,20,10,2003,Classic Cars,214,NYC,Medium
10174,34,100,8014.82,6,11,2003,Classic Cars,214,South Brisbane,Large
10183,23,100,5372.57,13,11,2003,Classic Cars,214,Philadelphia,Medium
10194,42,100,7290.36,25,11,2003,Classic Cars,214,Lyon,Large
10206,47,100,9064.89,5,12,2003,Classic Cars,214,Vancouver,Large
10215,35,100,6075.3,29,1,2004,Classic Cars,214,Burbank,Medium
10228,29,100,6463.23,10,3,2004,Classic Cars,214,Cambridge,Medium
10245,34,100,6120.34,4,5,2004,Classic Cars,214,New Haven,Medium
10258,32,100,7680.64,15,6,2004,Classic Cars,214,Minato-ku,Large
10270,21,100,4905.39,19,7,2004,Classic Cars,214,Chatswood,Medium
10280,34,100,8014.82,17,8,2004,Classic Cars,214,Torino,Large
10291,37,100,7136.19,8,9,2004,Classic Cars,214,Boras,Large
10304,47,100,10172.7,11,10,2004,Classic Cars,214,Versailles,Large
10312,48,100,11623.7,21,10,2004,Classic Cars,214,San Rafael,Large
